log P,Ligand coordination bulkiness (Å$^3$)
3.6644200000000025,8.24752266250437
3.214900000000002,2.3379313648994757
1.3263999999999998,7.265125695775816
-0.1103999999999985,4.42628623181737
0.4221099999999999,1.8387783689363106
0.7546200000000002,7.140337446785025
3.172500000000002,3.9271332358542037
1.889,2.0883548669178933
-1.2663099999999985,6.800773168834016
0.2572999999999997,4.176709733835787
2.8695200000000014,5.00660541557868
1.3263999999999998,6.925561417824807
3.8232000000000026,3.8023449868634125
1.7302,7.265125695775816
1.6703199999999996,7.479901724736034
1.869,2.0883548669178933
2.1904900000000005,6.675984919843224
1.5905,8.469386124491084
2.38512,7.604689973726825
0.49517,7.604689973726825
2.6457999999999995,2.3379313648994757
-0.2665999999999991,5.765911604790515
2.2990000000000004,7.604689973726825
2.4389000000000003,4.176709733835787
0.7213999999999998,6.800773168834016
1.0726,10.183376244436603
2.2618400000000003,5.301559077848714
1.93103,6.925561417824807
2.26649,6.800773168834016
0.3772899999999993,7.050349666815598
2.6346700000000007,5.641123355799723
0.4235999999999997,8.514763288779536
1.69682,5.4263473268395055
2.1663,5.176770828857923
2.667700000000001,12.204161736561089
0.2643899999999997,6.675984919843224
2.117,9.318680093672345
3.167300000000002,7.604689973726825
3.0020000000000007,2.0883548669178933
1.3148000000000002,1.963566617927102
2.40519,6.675984919843224
2.9044000000000016,3.9271332358542037
2.1436,7.604689973726825
2.10759,8.344597875500293
-0.0589000000000003,6.800773168834016
1.4983999999999995,3.337992459921612
3.706800000000002,3.8023449868634125
3.1544000000000008,4.301497982826578
3.1613000000000016,3.9271332358542037
2.6598900000000008,8.187040720737459
3.4589000000000025,5.765911604790515
1.3345999999999998,10.138765628755628
1.5294,2.2131431159086845
1.0919800000000002,2.0883548669178933
2.0575900000000003,6.675984919843224
0.4488999999999998,7.604689973726825
1.57572,8.639551537770327
2.5687000000000006,4.916617635609254
0.9111999999999998,1.963566617927102
2.506190000000001,6.3810312575731905
2.7530600000000014,6.7205955355241995
1.1625,2.3379313648994757
1.96299,6.675984919843224
1.0474199999999998,10.739748114597152
2.3734400000000004,5.675923824821088
1.95149,8.854327566730545
1.4820999999999998,7.604689973726825
-1.1443100000000004,8.639551537770327
2.886000000000001,1.8387783689363106
3.520700000000001,4.881817166587889
1.3666,2.0883548669178933
2.8516400000000006,11.032670213617864
2.7140000000000004,8.122734413513578
0.6617999999999999,7.265125695775816
2.5135200000000006,7.604689973726825
1.93939,6.800773168834016
1.5543999999999998,11.86459745861008
2.2398,4.176709733835787
2.1536,4.301497982826578
-0.1750099999999997,9.0139162847427
2.718790000000001,1.8387783689363106
1.56119,6.925561417824807
0.2720999999999998,6.336420641892215
2.733900000000001,7.604689973726825
1.9916,5.641123355799723
3.118520000000001,7.604689973726825
1.3264,7.604689973726825
1.9089,2.2131431159086845
1.81829,10.693105935666855
0.7497900000000002,10.353541657715846
0.7752899999999998,1.8387783689363106
2.5135200000000006,10.15060733866456
2.8922000000000008,2.0883548669178933
1.3210999999999995,4.837206550906914
2.0473,9.318680093672345
0.6247900000000001,6.800773168834016
0.7525999999999999,7.604689973726825
2.807500000000001,11.032670213617864
0.9756,2.0883548669178933
2.986600000000002,7.265125695775816
1.4731999999999998,8.639551537770327
3.0178900000000013,6.675984919843224
2.18025,7.050349666815598
3.7901900000000017,8.979115815721336
3.3583000000000016,9.318680093672345
2.4905,7.604689973726825
2.07509,6.675984919843224
0.0696200000000001,6.336420641892215
3.025500000000001,7.265125695775816
4.671340000000003,3.6775567378726213
2.681000000000001,7.604689973726825
2.5373,7.604689973726825
1.2568899999999998,6.675984919843224
1.08007,4.961994799897705
2.4977400000000003,7.265125695775816
3.4601500000000023,1.8387783689363106
3.9910900000000025,1.8387783689363106
2.6568000000000005,7.604689973726825
1.65492,5.00660541557868
3.8241900000000015,5.675923824821088
0.2550999999999992,7.604689973726825
2.7316100000000008,1.8387783689363106
2.727100000000001,6.015488102772097
2.836890000000001,6.800773168834016
2.12789,6.675984919843224
3.140620000000001,9.318680093672345
2.889800000000001,7.604689973726825
3.289240000000002,7.604689973726825
1.17332,6.336420641892215
3.222300000000001,7.604689973726825
1.42372,2.2131431159086845
0.5283899999999997,6.800773168834016
1.4451900000000002,8.639551537770327
2.5956900000000003,8.31182896972825
4.136300000000003,3.8023449868634125
1.2014,5.176770828857923
1.5490899999999996,6.800773168834016
2.548800000000001,7.604689973726825
1.6141,3.9271332358542037
3.9751,3.8023449868634125
2.5741900000000006,6.675984919843224
-1.0659,8.639551537770327
3.1706000000000025,6.845383784514992
1.77317,6.675984919843224
2.679800000000001,5.4263473268395055
